region_bld,region_nuts,urt,clim,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2020,0.018801594449319833
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2020,0.06400940555068017
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2025,0.015411882989677581
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2025,0.05856011701032242
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2030,0.012838111550992059
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2030,0.05404088844900793
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2035,0.010761277022821047
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2035,0.04985872297717895
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2040,0.009095742230343224
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2040,0.04611425776965678
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2045,0.007775166635973386
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2045,0.042914833364026614
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2050,0.006701526300963798
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2050,0.0400874736990362
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2055,0.005812751921340077
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2055,0.03752824807865992
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2060,0.005059940894143206
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2060,0.035132059105856796
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2065,0.004418789662578575
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2065,0.03288521033742142
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2070,0.0038912989774981506
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2070,0.03094670102250185
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2075,0.003475336532551272
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2075,0.02945466346744873
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2080,0.0031567234422528725
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2080,0.028443276557747133
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2085,0.0029084648584787056
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2085,0.02779553514152129
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2090,0.0027110042442185737
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2090,0.027421995755781428
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2095,0.00254685654253144
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2095,0.02721514345746856
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2100,0.0023976905806627744
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2100,0.027016309419337223
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2020,0.028865468518713407
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2020,0.0982715314812866
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2025,0.02426811116036683
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2025,0.09221088883963319
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2030,0.020721728281022308
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2030,0.08722627171897769
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2035,0.017812558524363028
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2035,0.08252844147563697
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2040,0.015428988432459765
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2040,0.07822301156754025
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2045,0.013472251646691939
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2045,0.07435974835330807
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2050,0.011845870487668298
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2050,0.07086012951233171
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2055,0.010461102647943657
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2055,0.06753889735205634
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2060,0.009267955533542507
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2060,0.06434904446645749
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2065,0.008243416529009442
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2065,0.061348583470990564
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2070,0.007386855596730156
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2070,0.05874614440326984
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2075,0.0066642453897504585
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2075,0.05648175461024954
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2080,0.0060529173042084185
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,2080,0.05453908269579159
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,2085,0.005536067343801166
