region_bld,region_nuts,urt,clim,year,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2010,0.073763
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2010,0.037713
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2010,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2015,0.062866325
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2015,0.03657469583333333
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2015,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2020,0.053724228571428584
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2020,0.03532929523809524
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2020,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2025,0.04617676785714287
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2025,0.033996997023809525
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2025,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2030,0.040064
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2030,0.032598
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2030,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2035,0.03522598214285714
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2035,0.031152502976190474
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2035,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2040,0.031502771428571434
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2040,0.029680704761904764
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2040,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2045,0.028734425000000008
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2045,0.02820280416666666
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2045,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2050,0.026761
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2050,0.026739
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2050,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2055,0.025422553571428568
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2055,0.025309491071428564
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2055,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2060,0.02455914285714286
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2060,0.023934476190476187
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2060,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2065,0.024010824999999996
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2065,0.022634154166666663
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2065,0.0
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,2070,0.023617657142857143
C-EEU-BGR,C-EEU-BGR-BG311,sub,Zone_4A Mixed Humid,2070,0.02142872380952381
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,2070,0.0
