region_bld,urt,clim,year,value
C-EEU-BGR,rur,Zone_4A Mixed Humid,2010,2.748031
C-EEU-BGR,rur,Zone_4A Mixed Humid,2015,2.588123123958333
C-EEU-BGR,rur,Zone_4A Mixed Humid,2020,2.4487739809523807
C-EEU-BGR,rur,Zone_4A Mixed Humid,2025,2.328198347470238
C-EEU-BGR,rur,Zone_4A Mixed Humid,2030,2.224611
C-EEU-BGR,rur,Zone_4A Mixed Humid,2035,2.1362267150297605
C-EEU-BGR,rur,Zone_4A Mixed Humid,2040,2.0612602690476183
C-EEU-BGR,rur,Zone_4A Mixed Humid,2045,1.9979264385416655
C-EEU-BGR,rur,Zone_4A Mixed Humid,2050,1.94444
C-EEU-BGR,rur,Zone_4A Mixed Humid,2055,1.899015729910713
C-EEU-BGR,rur,Zone_4A Mixed Humid,2060,1.859868404761904
C-EEU-BGR,rur,Zone_4A Mixed Humid,2065,1.8252128010416655
C-EEU-BGR,rur,Zone_4A Mixed Humid,2070,1.7932636952380947
C-EEU-BGR,rur,Zone_4A Mixed Humid,2075,1.7622358638392848
C-EEU-BGR,rur,Zone_4A Mixed Humid,2080,1.7303440833333328
C-EEU-BGR,rur,Zone_4A Mixed Humid,2085,1.6958031302083332
C-EEU-BGR,rur,Zone_4A Mixed Humid,2090,1.6568277809523806
C-EEU-BGR,rur,Zone_4A Mixed Humid,2095,1.6116328120535703
C-EEU-BGR,rur,Zone_4A Mixed Humid,2100,1.558433
C-EEU-BGR,rur,Zone_5A Cool Humid,2010,1.0150730000000001
C-EEU-BGR,rur,Zone_5A Cool Humid,2015,0.9428301458333331
C-EEU-BGR,rur,Zone_5A Cool Humid,2020,0.8800212380952379
C-EEU-BGR,rur,Zone_5A Cool Humid,2025,0.8258357113095235
C-EEU-BGR,rur,Zone_5A Cool Humid,2030,0.779463
C-EEU-BGR,rur,Zone_5A Cool Humid,2035,0.7400925386904758
C-EEU-BGR,rur,Zone_5A Cool Humid,2040,0.7069137619047615
C-EEU-BGR,rur,Zone_5A Cool Humid,2045,0.6791161041666662
C-EEU-BGR,rur,Zone_5A Cool Humid,2050,0.6558889999999999
C-EEU-BGR,rur,Zone_5A Cool Humid,2055,0.636421883928571
C-EEU-BGR,rur,Zone_5A Cool Humid,2060,0.6199041904761902
C-EEU-BGR,rur,Zone_5A Cool Humid,2065,0.6055253541666663
C-EEU-BGR,rur,Zone_5A Cool Humid,2070,0.5924748095238092
C-EEU-BGR,rur,Zone_5A Cool Humid,2075,0.5799419910714281
C-EEU-BGR,rur,Zone_5A Cool Humid,2080,0.567116333333333
C-EEU-BGR,rur,Zone_5A Cool Humid,2085,0.553187270833333
C-EEU-BGR,rur,Zone_5A Cool Humid,2090,0.5373442380952378
C-EEU-BGR,rur,Zone_5A Cool Humid,2095,0.5187766696428568
C-EEU-BGR,rur,Zone_5A Cool Humid,2100,0.496674
C-EEU-BGR,sub,Zone_4A Mixed Humid,2010,1.064656
C-EEU-BGR,sub,Zone_4A Mixed Humid,2015,1.0435154812499992
C-EEU-BGR,sub,Zone_4A Mixed Humid,2020,1.021184085714285
C-EEU-BGR,sub,Zone_4A Mixed Humid,2025,0.9978923973214279
C-EEU-BGR,sub,Zone_4A Mixed Humid,2030,0.973871
C-EEU-BGR,sub,Zone_4A Mixed Humid,2035,0.9493504776785704
C-EEU-BGR,sub,Zone_4A Mixed Humid,2040,0.924561414285713
C-EEU-BGR,sub,Zone_4A Mixed Humid,2045,0.899734393749999
C-EEU-BGR,sub,Zone_4A Mixed Humid,2050,0.8751
C-EEU-BGR,sub,Zone_4A Mixed Humid,2055,0.8508888169642846
C-EEU-BGR,sub,Zone_4A Mixed Humid,2060,0.8273314285714276
C-EEU-BGR,sub,Zone_4A Mixed Humid,2065,0.804658418749999
C-EEU-BGR,sub,Zone_4A Mixed Humid,2070,0.7831003714285704
C-EEU-BGR,sub,Zone_4A Mixed Humid,2075,0.7628878705357129
C-EEU-BGR,sub,Zone_4A Mixed Humid,2080,0.7442514999999995
C-EEU-BGR,sub,Zone_4A Mixed Humid,2085,0.7274218437499995
C-EEU-BGR,sub,Zone_4A Mixed Humid,2090,0.7126294857142851
C-EEU-BGR,sub,Zone_4A Mixed Humid,2095,0.7001050098214276
C-EEU-BGR,sub,Zone_4A Mixed Humid,2100,0.690079
C-EEU-BGR,sub,Zone_5A Cool Humid,2010,0.641386
C-EEU-BGR,sub,Zone_5A Cool Humid,2015,0.6301130510416664
C-EEU-BGR,sub,Zone_5A Cool Humid,2020,0.6175555047619046
C-EEU-BGR,sub,Zone_5A Cool Humid,2025,0.60392270610119
C-EEU-BGR,sub,Zone_5A Cool Humid,2030,0.589424
C-EEU-BGR,sub,Zone_5A Cool Humid,2035,0.574268731398809
C-EEU-BGR,sub,Zone_5A Cool Humid,2040,0.5586662452380947
C-EEU-BGR,sub,Zone_5A Cool Humid,2045,0.5428258864583329
C-EEU-BGR,sub,Zone_5A Cool Humid,2050,0.526957
C-EEU-BGR,sub,Zone_5A Cool Humid,2055,0.511268930803571
C-EEU-BGR,sub,Zone_5A Cool Humid,2060,0.4959710238095235
C-EEU-BGR,sub,Zone_5A Cool Humid,2065,0.4812726239583328
C-EEU-BGR,sub,Zone_5A Cool Humid,2070,0.46738307619047587
C-EEU-BGR,sub,Zone_5A Cool Humid,2075,0.4545117254464281
C-EEU-BGR,sub,Zone_5A Cool Humid,2080,0.4428679166666664
C-EEU-BGR,sub,Zone_5A Cool Humid,2085,0.4326609947916664
C-EEU-BGR,sub,Zone_5A Cool Humid,2090,0.4241003047619045
C-EEU-BGR,sub,Zone_5A Cool Humid,2095,0.4173951915178566
C-EEU-BGR,sub,Zone_5A Cool Humid,2100,0.41275500000000004
C-EEU-BGR,urb,Zone_4A Mixed Humid,2010,1.0791389999999998
C-EEU-BGR,urb,Zone_4A Mixed Humid,2015,1.0570347281249994
C-EEU-BGR,urb,Zone_4A Mixed Humid,2020,1.0310365999999997
C-EEU-BGR,urb,Zone_4A Mixed Humid,2025,1.0017421718749997
C-EEU-BGR,urb,Zone_4A Mixed Humid,2030,0.969749
C-EEU-BGR,urb,Zone_4A Mixed Humid,2035,0.9356546406249995
C-EEU-BGR,urb,Zone_4A Mixed Humid,2040,0.9000566499999996
C-EEU-BGR,urb,Zone_4A Mixed Humid,2045,0.8635525843749996
