region_bld,region_nuts,urt,clim,value
C-EEU-BGR,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG312,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG313,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG314,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG315,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG315,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG321,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG321,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG322,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG322,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG323,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG323,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG324,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG324,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG325,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG325,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG331,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG331,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG332,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG332,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG333,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG333,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG334,rur,Zone_4A Mixed Humid,1
