year,region_bld,clim,arch,urt,value
2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,0.325
2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,0.329
2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,0.479
2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,0.467
2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,0.407
2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,0.29
2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,0.559
2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,0.557
2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,0.165
2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,0.135
2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,0.262
2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,0.187
2015,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,0.292
2015,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,0.223
2015,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,0.282
2015,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,0.236
2015,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,0.547
2015,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,0.585
2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,0.337
2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,0.333
2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,0.397
2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,0.384
2015,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,0.635
2015,C-EEU-HRV,Zone_4C Mixed Marine,sfh,rur,0.59
2015,C-EEU-HRV,Zone_5A Cool Humid,mfh,rur,0.701
2015,C-EEU-HRV,Zone_5A Cool Humid,sfh,rur,0.632
2015,C-EEU-HUN,Zone_4A Mixed Humid,mfh,rur,0.23
2015,C-EEU-HUN,Zone_4A Mixed Humid,mfh,urb,0.17
2015,C-EEU-HUN,Zone_4A Mixed Humid,sfh,rur,0.131
2015,C-EEU-HUN,Zone_4A Mixed Humid,sfh,urb,0.082
2015,C-EEU-HUN,Zone_5A Cool Humid,mfh,rur,0.15
2015,C-EEU-HUN,Zone_5A Cool Humid,mfh,urb,0.122
2015,C-EEU-HUN,Zone_5A Cool Humid,sfh,rur,0.097
2015,C-EEU-HUN,Zone_5A Cool Humid,sfh,urb,0.101
2015,C-EEU-LTU,Zone_5A Cool Humid,mfh,rur,0.187
2015,C-EEU-LTU,Zone_5A Cool Humid,mfh,urb,0.166
2015,C-EEU-LTU,Zone_5A Cool Humid,sfh,rur,0.131
2015,C-EEU-LTU,Zone_5A Cool Humid,sfh,urb,0.098
2015,C-EEU-LTU,Zone_6A Cold Humid,mfh,rur,0.143
2015,C-EEU-LTU,Zone_6A Cold Humid,mfh,urb,0.143
2015,C-EEU-LTU,Zone_6A Cold Humid,sfh,rur,0.12
2015,C-EEU-LTU,Zone_6A Cold Humid,sfh,urb,0.186
2015,C-EEU-LVA,Zone_6A Cold Humid,mfh,rur,0.232
2015,C-EEU-LVA,Zone_6A Cold Humid,mfh,urb,0.193
2015,C-EEU-LVA,Zone_6A Cold Humid,sfh,rur,0.307
2015,C-EEU-LVA,Zone_6A Cold Humid,sfh,urb,0.345
2015,C-EEU-POL,Zone_5A Cool Humid,mfh,rur,0.19
2015,C-EEU-POL,Zone_5A Cool Humid,mfh,urb,0.207
2015,C-EEU-POL,Zone_5A Cool Humid,sfh,rur,0.15
2015,C-EEU-POL,Zone_5A Cool Humid,sfh,urb,0.132
2015,C-EEU-POL,Zone_6A Cold Humid,mfh,rur,0.378
2015,C-EEU-POL,Zone_6A Cold Humid,mfh,urb,0.264
2015,C-EEU-POL,Zone_6A Cold Humid,sfh,rur,0.175
2015,C-EEU-POL,Zone_6A Cold Humid,sfh,urb,0.164
2015,C-EEU-ROU,Zone_4A Mixed Humid,mfh,rur,0.295
2015,C-EEU-ROU,Zone_4A Mixed Humid,mfh,urb,0.233
2015,C-EEU-ROU,Zone_4A Mixed Humid,sfh,rur,0.277
2015,C-EEU-ROU,Zone_4A Mixed Humid,sfh,urb,0.256
2015,C-EEU-ROU,Zone_5A Cool Humid,mfh,rur,0.257
2015,C-EEU-ROU,Zone_5A Cool Humid,mfh,urb,0.232
2015,C-EEU-ROU,Zone_5A Cool Humid,sfh,rur,0.269
2015,C-EEU-ROU,Zone_5A Cool Humid,sfh,urb,0.264
2015,C-EEU-ROU,Zone_6A Cold Humid,mfh,rur,0.246
2015,C-EEU-ROU,Zone_6A Cold Humid,sfh,rur,0.234
2015,C-EEU-SVK,Zone_5A Cool Humid,mfh,rur,0.191
2015,C-EEU-SVK,Zone_5A Cool Humid,mfh,urb,0.206
2015,C-EEU-SVK,Zone_5A Cool Humid,sfh,rur,0.228
2015,C-EEU-SVK,Zone_5A Cool Humid,sfh,urb,0.231
2015,C-EEU-SVK,Zone_6A Cold Humid,mfh,rur,0.168
2015,C-EEU-SVK,Zone_6A Cold Humid,mfh,urb,0.19
2015,C-EEU-SVK,Zone_6A Cold Humid,sfh,rur,0.198
2015,C-EEU-SVK,Zone_6A Cold Humid,sfh,urb,0.232
2015,C-EEU-SVN,Zone_4A Mixed Humid,mfh,rur,0.193
2015,C-EEU-SVN,Zone_4A Mixed Humid,mfh,urb,0.264
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,rur,0.196
2015,C-EEU-SVN,Zone_4A Mixed Humid,sfh,urb,0.249
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,rur,0.169
2015,C-EEU-SVN,Zone_5A Cool Humid,mfh,urb,0.185
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,rur,0.214
2015,C-EEU-SVN,Zone_5A Cool Humid,sfh,urb,0.147
2015,C-EEU-SVN,Zone_7A Very cold Humid,mfh,rur,0.213
2015,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,0.225
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,0.21
2015,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,0.134
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,0.174
2015,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,0.214
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,0.224
2015,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,0.178
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,0.166
2015,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,0.167
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,0.242
2015,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,0.208
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,0.163
2015,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,0.139
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,rur,0.296
2015,C-WEU-AUT,Zone_7A Very cold Humid,mfh,urb,0.18
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,rur,0.192
2015,C-WEU-AUT,Zone_7A Very cold Humid,sfh,urb,0.127
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,rur,0.161
2015,C-WEU-BEL,Zone_4A Mixed Humid,mfh,urb,0.24
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,rur,0.092
2015,C-WEU-BEL,Zone_4A Mixed Humid,sfh,urb,0.082
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,rur,0.195
2015,C-WEU-BEL,Zone_5A Cool Humid,mfh,urb,0.191
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,rur,0.173
2015,C-WEU-BEL,Zone_5A Cool Humid,sfh,urb,0.092
2015,C-WEU-CYP,Zone_3A Warm Humid,mfh,urb,0.283
2015,C-WEU-CYP,Zone_3A Warm Humid,sfh,urb,0.279
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,rur,0.098
2015,C-WEU-DEU,Zone_4A Mixed Humid,mfh,urb,0.07
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,rur,0.054
2015,C-WEU-DEU,Zone_4A Mixed Humid,sfh,urb,0.037
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,rur,0.139
2015,C-WEU-DEU,Zone_5A Cool Humid,mfh,urb,0.087
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,rur,0.067
2015,C-WEU-DEU,Zone_5A Cool Humid,sfh,urb,0.044
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,rur,0.142
2015,C-WEU-DEU,Zone_6A Cold Humid,mfh,urb,0.118
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,rur,0.075
2015,C-WEU-DEU,Zone_6A Cold Humid,sfh,urb,0.062
2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,rur,0.391
