region_bld,region_gea,R11,R12,region_nuts
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE100
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE211
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE212
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE213
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE223
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE224
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE225
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE231
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE232
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE233
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE234
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE235
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE236
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE241
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE242
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE251
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE252
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE253
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE254
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE255
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE256
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE257
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE258
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE310
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE323
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE328
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE329
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE32A
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE32B
C-WEU-BEL,WEU,WEU,WEU,C-WEU-BEL-BE32C
