region_bld,region_gea,R11,R12
C-WEU-BEL,WEU,WEU,WEU
C-EEU-BGR,EEU,EEU,EEU
C-EEU-CZE,EEU,EEU,EEU
C-WEU-DNK,WEU,WEU,WEU
C-WEU-DEU,WEU,WEU,WEU
C-EEU-EST,EEU,EEU,EEU
C-WEU-IRL,WEU,WEU,WEU
C-WEU-GRC,WEU,WEU,WEU
C-WEU-ESP,WEU,WEU,WEU
C-WEU-FRA,WEU,WEU,WEU
C-EEU-HRV,EEU,EEU,EEU
C-WEU-ITA,WEU,WEU,WEU
C-WEU-CYP,WEU,WEU,WEU
C-EEU-LVA,EEU,EEU,EEU
C-EEU-LTU,EEU,EEU,EEU
C-WEU-LUX,WEU,WEU,WEU
C-EEU-HUN,EEU,EEU,EEU
C-WEU-MLT,WEU,WEU,WEU
C-WEU-NLD,WEU,WEU,WEU
C-WEU-AUT,WEU,WEU,WEU
C-EEU-POL,EEU,EEU,EEU
C-WEU-PRT,WEU,WEU,WEU
C-EEU-ROU,EEU,EEU,EEU
C-EEU-SVN,EEU,EEU,EEU
C-EEU-SVK,EEU,EEU,EEU
C-WEU-FIN,WEU,WEU,WEU
C-WEU-SWE,WEU,WEU,WEU
