region_gea,mat,tenr,year,value
AFR,perm,own,2015,0.8377186590000001
AFR,perm,own,2020,0.8377186590000001
AFR,perm,own,2025,0.8377186590000001
AFR,perm,own,2030,0.8377186590000001
AFR,perm,own,2035,0.8377186590000001
AFR,perm,own,2040,0.8377186590000001
AFR,perm,own,2045,0.8377186590000001
AFR,perm,own,2050,0.8377186590000001
AFR,perm,own,2055,0.8377186590000001
AFR,perm,own,2060,0.8377186590000001
AFR,perm,own,2065,0.8377186590000001
AFR,perm,own,2070,0.8377186590000001
AFR,perm,own,2075,0.8377186590000001
AFR,perm,own,2080,0.8377186590000001
AFR,perm,own,2085,0.8377186590000001
AFR,perm,own,2090,0.8377186590000001
AFR,perm,own,2095,0.8377186590000001
AFR,perm,own,2100,0.8377186590000001
AFR,perm,rent,2015,0.162281341
AFR,perm,rent,2020,0.162281341
AFR,perm,rent,2025,0.162281341
AFR,perm,rent,2030,0.162281341
AFR,perm,rent,2035,0.162281341
AFR,perm,rent,2040,0.162281341
AFR,perm,rent,2045,0.162281341
AFR,perm,rent,2050,0.162281341
AFR,perm,rent,2055,0.162281341
AFR,perm,rent,2060,0.162281341
AFR,perm,rent,2065,0.162281341
AFR,perm,rent,2070,0.162281341
AFR,perm,rent,2075,0.162281341
AFR,perm,rent,2080,0.162281341
AFR,perm,rent,2085,0.162281341
AFR,perm,rent,2090,0.162281341
AFR,perm,rent,2095,0.162281341
AFR,perm,rent,2100,0.162281341
AFR,sub,own,2015,1.0
AFR,sub,own,2020,1.0
AFR,sub,own,2025,1.0
AFR,sub,own,2030,1.0
AFR,sub,own,2035,1.0
AFR,sub,own,2040,1.0
AFR,sub,own,2045,1.0
AFR,sub,own,2050,1.0
AFR,sub,own,2055,1.0
AFR,sub,own,2060,1.0
AFR,sub,own,2065,1.0
AFR,sub,own,2070,1.0
AFR,sub,own,2075,1.0
AFR,sub,own,2080,1.0
AFR,sub,own,2085,1.0
AFR,sub,own,2090,1.0
AFR,sub,own,2095,1.0
AFR,sub,own,2100,1.0
AFR,sub,rent,2015,0.0
AFR,sub,rent,2020,0.0
AFR,sub,rent,2025,0.0
AFR,sub,rent,2030,0.0
AFR,sub,rent,2035,0.0
AFR,sub,rent,2040,0.0
AFR,sub,rent,2045,0.0
AFR,sub,rent,2050,0.0
AFR,sub,rent,2055,0.0
AFR,sub,rent,2060,0.0
AFR,sub,rent,2065,0.0
AFR,sub,rent,2070,0.0
AFR,sub,rent,2075,0.0
AFR,sub,rent,2080,0.0
AFR,sub,rent,2085,0.0
AFR,sub,rent,2090,0.0
AFR,sub,rent,2095,0.0
AFR,sub,rent,2100,0.0
CPA,perm,own,2015,0.898849856
CPA,perm,own,2020,0.898849856
CPA,perm,own,2025,0.898849856
CPA,perm,own,2030,0.898849856
CPA,perm,own,2035,0.898849856
CPA,perm,own,2040,0.898849856
CPA,perm,own,2045,0.898849856
CPA,perm,own,2050,0.898849856
CPA,perm,own,2055,0.898849856
CPA,perm,own,2060,0.898849856
CPA,perm,own,2065,0.898849856
CPA,perm,own,2070,0.898849856
CPA,perm,own,2075,0.898849856
CPA,perm,own,2080,0.898849856
CPA,perm,own,2085,0.898849856
CPA,perm,own,2090,0.898849856
CPA,perm,own,2095,0.898849856
CPA,perm,own,2100,0.898849856
CPA,perm,rent,2015,0.101150144
CPA,perm,rent,2020,0.101150144
CPA,perm,rent,2025,0.101150144
CPA,perm,rent,2030,0.101150144
CPA,perm,rent,2035,0.101150144
CPA,perm,rent,2040,0.101150144
CPA,perm,rent,2045,0.101150144
CPA,perm,rent,2050,0.101150144
CPA,perm,rent,2055,0.101150144
CPA,perm,rent,2060,0.101150144
CPA,perm,rent,2065,0.101150144
CPA,perm,rent,2070,0.101150144
CPA,perm,rent,2075,0.101150144
CPA,perm,rent,2080,0.101150144
CPA,perm,rent,2085,0.101150144
CPA,perm,rent,2090,0.101150144
CPA,perm,rent,2095,0.101150144
CPA,perm,rent,2100,0.101150144
CPA,sub,own,2015,1.0
CPA,sub,own,2020,1.0
CPA,sub,own,2025,1.0
CPA,sub,own,2030,1.0
CPA,sub,own,2035,1.0
CPA,sub,own,2040,1.0
CPA,sub,own,2045,1.0
CPA,sub,own,2050,1.0
CPA,sub,own,2055,1.0
CPA,sub,own,2060,1.0
CPA,sub,own,2065,1.0
CPA,sub,own,2070,1.0
CPA,sub,own,2075,1.0
CPA,sub,own,2080,1.0
CPA,sub,own,2085,1.0
CPA,sub,own,2090,1.0
CPA,sub,own,2095,1.0
CPA,sub,own,2100,1.0
CPA,sub,rent,2015,0.0
CPA,sub,rent,2020,0.0
CPA,sub,rent,2025,0.0
CPA,sub,rent,2030,0.0
CPA,sub,rent,2035,0.0
CPA,sub,rent,2040,0.0
CPA,sub,rent,2045,0.0
CPA,sub,rent,2050,0.0
CPA,sub,rent,2055,0.0
CPA,sub,rent,2060,0.0
CPA,sub,rent,2065,0.0
CPA,sub,rent,2070,0.0
CPA,sub,rent,2075,0.0
CPA,sub,rent,2080,0.0
CPA,sub,rent,2085,0.0
CPA,sub,rent,2090,0.0
CPA,sub,rent,2095,0.0
CPA,sub,rent,2100,0.0
EEU,perm,own,2015,0.9384197495
EEU,perm,own,2020,0.9384197495
EEU,perm,own,2025,0.9384197495
EEU,perm,own,2030,0.9384197495
EEU,perm,own,2035,0.9384197495
EEU,perm,own,2040,0.9384197495
EEU,perm,own,2045,0.9384197495
EEU,perm,own,2050,0.9384197495
EEU,perm,own,2055,0.9384197495
EEU,perm,own,2060,0.9384197495
EEU,perm,own,2065,0.9384197495
EEU,perm,own,2070,0.9384197495
EEU,perm,own,2075,0.9384197495
EEU,perm,own,2080,0.9384197495
EEU,perm,own,2085,0.9384197495
EEU,perm,own,2090,0.9384197495
EEU,perm,own,2095,0.9384197495
EEU,perm,own,2100,0.9384197495
EEU,perm,rent,2015,0.06158025050000001
EEU,perm,rent,2020,0.06158025050000001
EEU,perm,rent,2025,0.06158025050000001
EEU,perm,rent,2030,0.06158025050000001
EEU,perm,rent,2035,0.06158025050000001
EEU,perm,rent,2040,0.06158025050000001
EEU,perm,rent,2045,0.06158025050000001
EEU,perm,rent,2050,0.06158025050000001
EEU,perm,rent,2055,0.06158025050000001
EEU,perm,rent,2060,0.06158025050000001
EEU,perm,rent,2065,0.06158025050000001
EEU,perm,rent,2070,0.06158025050000001
EEU,perm,rent,2075,0.06158025050000001
EEU,perm,rent,2080,0.06158025050000001
EEU,perm,rent,2085,0.06158025050000001
EEU,perm,rent,2090,0.06158025050000001
EEU,perm,rent,2095,0.06158025050000001
EEU,perm,rent,2100,0.06158025050000001
EEU,sub,own,2015,1.0
EEU,sub,own,2020,1.0
EEU,sub,own,2025,1.0
EEU,sub,own,2030,1.0
EEU,sub,own,2035,1.0
EEU,sub,own,2040,1.0
EEU,sub,own,2045,1.0
EEU,sub,own,2050,1.0
EEU,sub,own,2055,1.0
EEU,sub,own,2060,1.0
EEU,sub,own,2065,1.0
EEU,sub,own,2070,1.0
EEU,sub,own,2075,1.0
EEU,sub,own,2080,1.0
EEU,sub,own,2085,1.0
EEU,sub,own,2090,1.0
EEU,sub,own,2095,1.0
EEU,sub,own,2100,1.0
EEU,sub,rent,2015,0.0
EEU,sub,rent,2020,0.0
EEU,sub,rent,2025,0.0
EEU,sub,rent,2030,0.0
EEU,sub,rent,2035,0.0
EEU,sub,rent,2040,0.0
EEU,sub,rent,2045,0.0
EEU,sub,rent,2050,0.0
EEU,sub,rent,2055,0.0
EEU,sub,rent,2060,0.0
EEU,sub,rent,2065,0.0
EEU,sub,rent,2070,0.0
EEU,sub,rent,2075,0.0
