region_bld,clim,urt,arch,eneff,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,0.57265
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,0.57265
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,0.57265
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,0.57265
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,0.57265
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,0.57265
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,0.57265
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,0.57265
C-WEU-BEL,Zone_4A Mixed Humid,rur,inf,ns,1.0
C-WEU-BEL,Zone_4A Mixed Humid,urb,inf,ns,1.0
C-WEU-BEL,Zone_5A Cool Humid,rur,inf,ns,1.0
C-WEU-BEL,Zone_5A Cool Humid,urb,inf,ns,1.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,1.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,1.0
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,1.0
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,1.0
C-WEU-CYP,Zone_3A Warm Humid,rur,inf,ns,1.0
C-WEU-CYP,Zone_3A Warm Humid,urb,inf,ns,1.0
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,1.0
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,1.0
C-WEU-DEU,Zone_5A Cool Humid,rur,inf,ns,0.99996
C-WEU-DEU,Zone_5A Cool Humid,urb,inf,ns,0.99996
C-WEU-DEU,Zone_4A Mixed Humid,rur,inf,ns,0.99996
C-WEU-DEU,Zone_4A Mixed Humid,urb,inf,ns,0.99996
C-WEU-DEU,Zone_6A Cold Humid,rur,inf,ns,0.99996
C-WEU-DEU,Zone_6A Cold Humid,urb,inf,ns,0.99996
C-WEU-DNK,Zone_5A Cool Humid,rur,inf,ns,0.97988
C-WEU-DNK,Zone_5A Cool Humid,urb,inf,ns,0.97988
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,0.55833
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,0.55833
C-WEU-GRC,Zone_3A Warm Humid,rur,inf,ns,0.98923
C-WEU-GRC,Zone_3A Warm Humid,urb,inf,ns,0.98923
C-WEU-GRC,Zone_4A Mixed Humid,rur,inf,ns,0.98923
C-WEU-GRC,Zone_4A Mixed Humid,urb,inf,ns,0.98923
C-WEU-GRC,Zone_4C Mixed Marine,rur,inf,ns,0.98923
C-WEU-GRC,Zone_4C Mixed Marine,urb,inf,ns,0.98923
C-WEU-GRC,Zone_5C Cool Marine,rur,inf,ns,0.98923
C-WEU-GRC,Zone_5C Cool Marine,urb,inf,ns,0.98923
C-WEU-GRC,Zone_5A Cool Humid,rur,inf,ns,0.98923
C-WEU-GRC,Zone_5A Cool Humid,urb,inf,ns,0.98923
C-WEU-ESP,Zone_3C Warm Marine,rur,inf,ns,0.99999
C-WEU-ESP,Zone_3C Warm Marine,urb,inf,ns,0.99999
C-WEU-ESP,Zone_4C Mixed Marine,rur,inf,ns,0.99999
C-WEU-ESP,Zone_4C Mixed Marine,urb,inf,ns,0.99999
C-WEU-ESP,Zone_4A Mixed Humid,rur,inf,ns,0.99999
C-WEU-ESP,Zone_4A Mixed Humid,urb,inf,ns,0.99999
C-WEU-ESP,Zone_3A Warm Humid,rur,inf,ns,0.99999
C-WEU-ESP,Zone_3A Warm Humid,urb,inf,ns,0.99999
C-WEU-ESP,Zone_3B Warm Dry,rur,inf,ns,0.99999
C-WEU-ESP,Zone_3B Warm Dry,urb,inf,ns,0.99999
C-WEU-ESP,Zone_2B Hot Dry,rur,inf,ns,0.99999
C-WEU-ESP,Zone_2B Hot Dry,urb,inf,ns,0.99999
C-WEU-FIN,Zone_6A Cold Humid,rur,inf,ns,0.12076
