region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT111,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT111,0.85253967
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT112,1.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT112,1.0
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT113,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT113,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT121,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT121,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT122,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT122,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT123,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT123,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT124,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT124,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT125,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT125,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT126,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT126,0.85253967
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT127,1.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT127,1.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT130,1.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT130,1.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT211,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT212,0.0
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT213,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT213,0.85253967
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT221,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT222,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT223,0.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-AUT-AT224,1.0
C-WEU-AUT,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-AUT-AT224,1.0
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT225,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT225,0.85253967
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT226,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT226,0.0
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT311,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT311,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT312,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT312,0.85253967
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,rur,C-WEU-AUT-AT313,0.7845846
C-WEU-AUT,Zone_5A Cool Humid,inf,ns,urb,C-WEU-AUT-AT313,0.85253967
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT314,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT314,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT315,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT315,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT321,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT321,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT322,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT322,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT323,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT323,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT331,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT331,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT332,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT332,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT333,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT333,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,rur,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_7A Very cold Humid,inf,ns,urb,C-WEU-AUT-AT334,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT335,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT341,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,rur,C-WEU-AUT-AT342,0.0
C-WEU-AUT,Zone_6A Cold Humid,inf,ns,urb,C-WEU-AUT-AT342,0.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE100,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE100,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE211,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE211,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE212,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE212,1.0
