,region_bld,clim,arch,eneff,urt,value
0,C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,1.0
1,C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,sub,1.0
2,C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,1.0
3,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,rur,1.0
4,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,sub,1.0
5,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s1,urb,1.0
6,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,rur,1.0
7,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,sub,1.0
8,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s2,urb,1.0
9,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,rur,1.0
10,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,sub,1.0
11,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s3,urb,1.0
12,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,rur,1.0
13,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,sub,1.0
14,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s51_std,urb,1.0
15,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,rur,1.0
16,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,sub,1.0
17,C-EEU-BGR,Zone_4A Mixed Humid,mfh,s52_low,urb,1.0
18,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,rur,1.0
19,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,sub,1.0
20,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr11_std,urb,1.0
21,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,rur,1.0
22,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,sub,1.0
23,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr12_low,urb,1.0
24,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,rur,1.0
25,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,sub,1.0
26,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr21_std,urb,1.0
27,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,rur,1.0
28,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,sub,1.0
29,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr22_low,urb,1.0
30,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,rur,1.0
31,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,sub,1.0
32,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr31_std,urb,1.0
33,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,rur,1.0
34,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,sub,1.0
35,C-EEU-BGR,Zone_4A Mixed Humid,mfh,sr32_low,urb,1.0
36,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,rur,1.0
37,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,sub,1.0
38,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s1,urb,1.0
39,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,rur,1.0
40,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,sub,1.0
41,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s2,urb,1.0
42,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,rur,1.0
43,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,sub,1.0
44,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s3,urb,1.0
45,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,rur,1.0
46,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,sub,1.0
47,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s51_std,urb,1.0
48,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,rur,1.0
49,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,sub,1.0
50,C-EEU-BGR,Zone_4A Mixed Humid,sfh,s52_low,urb,1.0
51,C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,rur,1.0
52,C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,sub,1.0
53,C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr11_std,urb,1.0
54,C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,rur,1.0
55,C-EEU-BGR,Zone_4A Mixed Humid,sfh,sr12_low,sub,1.0
