region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT111,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT111,1.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT112,1.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT112,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT113,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT113,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT121,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT121,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT122,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT122,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT123,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT123,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT124,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT124,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT125,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT125,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT126,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT126,1.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT127,1.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT127,1.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT130,1.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT130,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT211,1.0
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT211,1.0
C-WEU-AUT,Zone_7A Very cold Humid,rur,inf,ns,C-WEU-AUT-AT212,1.0
C-WEU-AUT,Zone_7A Very cold Humid,urb,inf,ns,C-WEU-AUT-AT212,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT213,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT213,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT221,1.0
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT221,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT222,1.0
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT222,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT223,1.0
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT223,1.0
C-WEU-AUT,Zone_4A Mixed Humid,rur,inf,ns,C-WEU-AUT-AT224,1.0
C-WEU-AUT,Zone_4A Mixed Humid,urb,inf,ns,C-WEU-AUT-AT224,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT225,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT225,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT226,1.0
C-WEU-AUT,Zone_6A Cold Humid,urb,inf,ns,C-WEU-AUT-AT226,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT311,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT311,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT312,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT312,1.0
C-WEU-AUT,Zone_5A Cool Humid,rur,inf,ns,C-WEU-AUT-AT313,1.0
C-WEU-AUT,Zone_5A Cool Humid,urb,inf,ns,C-WEU-AUT-AT313,1.0
C-WEU-AUT,Zone_6A Cold Humid,rur,inf,ns,C-WEU-AUT-AT314,1.0
