,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
0,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0707825062462072
1,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1737496638254737
2,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1437239426282942
3,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.1010987304322682
4,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.0952404826281394
5,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.0898547556899424
6,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.1265844370475138
7,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.0792972126762151
8,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.0156332389120954
9,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.0298510088797312
10,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.0209185682807919
11,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.0240842304006241
12,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0135117600367149
13,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0156694623159874
14,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.0707825062462072
15,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.1737496638254737
16,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1437239426282942
17,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.1010987304322682
18,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.0952404826281394
19,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.0898547556899424
20,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.1265844370475138
21,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.0792972126762151
22,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.0156332389120954
23,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.0298510088797312
24,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.0209185678922819
25,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.0240842307891341
26,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.0135117600367149
27,C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.0156694623159874
28,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.0535919807540688
29,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.1398811629903196
30,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1965,p2,0.1473420300499415
31,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1970,p2,0.1036437764297017
32,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1975,p2,0.0976380538742865
33,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.0921167473622538
34,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1985,p2,0.1409099906470082
35,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0882712737612854
36,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1995,p3,0.017402451677839
37,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0332292458706266
38,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2005,p3,0.0256117235553371
39,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.0294876132431219
40,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.015528034967697
41,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.0153459148165115
42,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.0535919807540689
43,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.1398811629903196
44,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1965,p2,0.1473420307287236
45,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1970,p2,0.1036437761899202
46,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1975,p2,0.0976380536483993
47,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.0921167471491404
48,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1985,p2,0.1409099916667476
49,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0882712744000883
50,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1995,p3,0.0174024497788229
51,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0332292461111004
52,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2005,p3,0.0256117230796635
53,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.0294876137187955
54,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.015528034967697
55,C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0153459148165115
56,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0707207236608816
57,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1763191031951037
58,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1439344246175975
59,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.1012467883098096
60,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.0953799611720701
61,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.0899863469014004
62,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.1258100251332625
63,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.078812092169337
64,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.0155375986678897
65,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.0296683878761697
66,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.0201644625890658
67,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.0232160039052845
68,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.013649989807822
69,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0155540919943045
70,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.0707207236608816
71,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.1763191031951037
72,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1439344246175975
73,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.1012467883098096
74,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.0953799611720701
75,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.0899863469014004
76,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.1258100251332625
77,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.078812092169337
78,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.0155375986678897
79,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.0296683878761697
80,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.0201644622145614
81,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.0232160042797889
82,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.013649989807822
83,C-EEU-BGR,EEU,sub,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.0155540919943045
84,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1945,p1,0.0561799010691361
85,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1960,p2,0.133590820546708
86,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,mfh,1965,p2,0.1472847721183933
