region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.20934369897399666
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.2993444300928521
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.11798827614394343
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.08299567007352796
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.07818641876165135
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.07376507722593172
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.06116721692501024
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.038317426078958806
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.007554180735643897
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.014424388796638358
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.005018372446598634
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.00577781598710107
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0037530767918504617
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.002363950966295421
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.20934369897399654
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.2993444300928521
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.11798827614394343
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.08299567007352796
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.07818641876165135
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.07376507722593172
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.06116721692501024
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.038317426078958806
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.007554180735643897
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.014424388796638358
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.0050183723533949376
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.005777816080304767
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.0037530767918504617
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.002363950966295421
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.20934369897399666
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.2993444300928521
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.11798827614394343
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.08299567007352796
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.07818641876165135
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.07376507722593172
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.06116721692501024
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.038317426078958806
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.007554180735643897
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.014424388796638358
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.005018372446598634
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.00577781598710107
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0037530767918504617
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.002363950966295421
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.20934369897399654
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.2993444300928521
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.11798827614394343
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.08299567007352796
C-EEU-BGR,EEU,C-EEU-BGR-BG311,urb,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.07818641876165135
