region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0791124852232427
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.21760480130944804
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.49231608620532874
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.19193113273316964
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.012457943075384196
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0045466945530599255
C-EEU-BGR,EEU,C-EEU-BGR-BG311,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0020308569003667665
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.11786299315163118
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.260139335688488
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.40961929384830964
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.18656377666817975
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.014249343780220648
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0063352345615662435
C-EEU-BGR,EEU,C-EEU-BGR-BG312,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.005230022301604531
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0964041860761917
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.24976070448599325
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.43256652415289387
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.20014676791525748
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.01306553506476932
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0040839767723821075
C-EEU-BGR,EEU,C-EEU-BGR-BG313,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.003972305532512284
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.1037023531178275
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.26592161994036767
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.3824513610330552
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.21202728501254853
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.02431412085201313
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.006542396876809884
C-EEU-BGR,EEU,C-EEU-BGR-BG314,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0050408631673781075
