region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.039123696322283484
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.0987799001234706
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.2568633398880033
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.15548785195322792
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.031165910126913013
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.00933220152140863
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.011220935353019431
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.039123696322283484
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.0987799001234706
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.2568633398880033
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.15548785195322792
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.031165910126913013
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.00933220152140863
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.011220935353019431
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.02031948168000661
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.04467596740756723
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.16570207542792817
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.11693266249779807
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.03239516084071724
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.008991100010649686
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.00900971684700633
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.02031948168000661
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.04467596740756723
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.16570207542792817
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.11693266249779807
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.03239516084071724
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.008991100010649686
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.00900971684700633
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.04215728478541211
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.10643913464300865
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.27678010997194646
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.16754412981502356
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.03358246465246424
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.010055805411944198
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.012090988625901107
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.04215728478541211
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.10643913464300865
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.27678010997194646
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.16754412981502356
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.03358246465246424
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.010055805411944198
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.012090988625901107
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.017936638817590164
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.03943686673880269
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.1462703785992863
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.1032201001104223
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.02859621660573265
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.007936723780830319
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.007953157441634958
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.017936638817590164
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.03943686673880269
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.1462703785992863
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.1032201001104223
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.02859621660573265
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.007936723780830319
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.007953157441634958
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.2039334812785439
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.31815508543860804
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.21863943373907263
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.10345021062993301
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03991128052353739
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.2039334812785439
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.31815508543860804
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.21863943373907263
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2010,p3,0.10345021062993301
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2020,p3,0.03991128052353739
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.20393348127854388
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.318155085438608
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.21863943373907263
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.10345021062993301
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03991128052353739
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.20393348127854388
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.08175941872249957
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.318155085438608
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.21863943373907263
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.10345021062993301
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0341510896678052
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.03991128052353739
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,mfh,1945,p1,0.12179518864088895
