region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.07078250624620722
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1737496638254737
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1437239426282942
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.10109873043226823
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.09524048262813942
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.0898547556899424
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.1265844370475138
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.07929721267621516
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.015633238912095455
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.029851008879731262
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.020918568280791975
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.02408423040062411
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.013511760036714997
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.01566946231598741
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.07078250624620722
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.1737496638254737
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1437239426282942
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.10109873043226823
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.09524048262813942
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.0898547556899424
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.1265844370475138
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.07929721267621516
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.015633238912095455
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.029851008879731262
