region_bld,region_gea,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,perm,mfh,1945,p1,0.060642580488283665
C-EEU-BGR,EEU,perm,mfh,1960,p2,0.1469765977293781
C-EEU-BGR,EEU,perm,mfh,1965,p2,0.14165362320582997
C-EEU-BGR,EEU,perm,mfh,1970,p2,0.09964242008221251
C-EEU-BGR,EEU,perm,mfh,1975,p2,0.0938685593606303
C-EEU-BGR,EEU,perm,mfh,1980,p2,0.08856041292071586
C-EEU-BGR,EEU,perm,mfh,1985,p2,0.13602542852254162
C-EEU-BGR,EEU,perm,mfh,1990,p2,0.0852114018635369
C-EEU-BGR,EEU,perm,mfh,1995,p3,0.016799205904078577
C-EEU-BGR,EEU,perm,mfh,2000,p3,0.032077373565057785
C-EEU-BGR,EEU,perm,mfh,2005,p3,0.028435881830281496
C-EEU-BGR,EEU,perm,mfh,2010,p3,0.03273915883976988
C-EEU-BGR,EEU,perm,mfh,2015,p3,0.01770682519630234
C-EEU-BGR,EEU,perm,mfh,2020,p3,0.019660530491380338
C-EEU-BGR,EEU,perm,sfh,1945,p1,0.06064258048828367
C-EEU-BGR,EEU,perm,sfh,1960,p2,0.1469765977293781
C-EEU-BGR,EEU,perm,sfh,1965,p2,0.1416536234351349
C-EEU-BGR,EEU,perm,sfh,1970,p2,0.09964242000120997
C-EEU-BGR,EEU,perm,sfh,1975,p2,0.09386855928432149
C-EEU-BGR,EEU,perm,sfh,1980,p2,0.08856041284872224
C-EEU-BGR,EEU,perm,sfh,1985,p2,0.13602542890449057
C-EEU-BGR,EEU,perm,sfh,1990,p2,0.08521140210280398
C-EEU-BGR,EEU,perm,sfh,1995,p3,0.01679920519279175
C-EEU-BGR,EEU,perm,sfh,2000,p3,0.03207737365512859
C-EEU-BGR,EEU,perm,sfh,2005,p3,0.02843588130215622
C-EEU-BGR,EEU,perm,sfh,2010,p3,0.032739159367895135
C-EEU-BGR,EEU,perm,sfh,2015,p3,0.01770682519630234
C-EEU-BGR,EEU,perm,sfh,2020,p3,0.019660530491380338
C-EEU-CZE,EEU,perm,mfh,1945,p1,0.20390581867946386
C-EEU-CZE,EEU,perm,mfh,1960,p2,0.08227358368198054
C-EEU-CZE,EEU,perm,mfh,1965,p2,0.04239545657758708
C-EEU-CZE,EEU,perm,mfh,1970,p2,0.057682057106178936
C-EEU-CZE,EEU,perm,mfh,1975,p2,0.10324152639645405
C-EEU-CZE,EEU,perm,mfh,1980,p2,0.11545130062245125
C-EEU-CZE,EEU,perm,mfh,1985,p2,0.05246058978025565
C-EEU-CZE,EEU,perm,mfh,1990,p2,0.05310202162077269
C-EEU-CZE,EEU,perm,mfh,1995,p3,0.05986177429416007
C-EEU-CZE,EEU,perm,mfh,2000,p3,0.053167917252656585
C-EEU-CZE,EEU,perm,mfh,2005,p3,0.039668368694764734
C-EEU-CZE,EEU,perm,mfh,2010,p3,0.0631896959803665
C-EEU-CZE,EEU,perm,mfh,2015,p3,0.0339844582140257
C-EEU-CZE,EEU,perm,mfh,2020,p3,0.03961543109888169
C-EEU-CZE,EEU,perm,sfh,1945,p1,0.20390581867946386
C-EEU-CZE,EEU,perm,sfh,1960,p2,0.08227358368198054
C-EEU-CZE,EEU,perm,sfh,1965,p2,0.04239545657758708
C-EEU-CZE,EEU,perm,sfh,1970,p2,0.057682057106178936
C-EEU-CZE,EEU,perm,sfh,1975,p2,0.10324152639645405
C-EEU-CZE,EEU,perm,sfh,1980,p2,0.11545130062245125
C-EEU-CZE,EEU,perm,sfh,1985,p2,0.05246058978025565
C-EEU-CZE,EEU,perm,sfh,1990,p2,0.05310202162077269
C-EEU-CZE,EEU,perm,sfh,1995,p3,0.05986177429416007
C-EEU-CZE,EEU,perm,sfh,2000,p3,0.053167917252656585
C-EEU-CZE,EEU,perm,sfh,2005,p3,0.039668368694764734
C-EEU-CZE,EEU,perm,sfh,2010,p3,0.0631896959803665
C-EEU-CZE,EEU,perm,sfh,2015,p3,0.0339844582140257
C-EEU-CZE,EEU,perm,sfh,2020,p3,0.03961543109888169
C-EEU-EST,EEU,perm,mfh,1945,p1,0.1308839838067201
C-EEU-EST,EEU,perm,mfh,1960,p2,0.0964592084441808
C-EEU-EST,EEU,perm,mfh,1965,p2,0.038599126326221644
C-EEU-EST,EEU,perm,mfh,1970,p2,0.09462454524069588
C-EEU-EST,EEU,perm,mfh,1975,p2,0.12304519760179836
C-EEU-EST,EEU,perm,mfh,1980,p2,0.10520370673967436
C-EEU-EST,EEU,perm,mfh,1985,p2,0.11560581035236998
C-EEU-EST,EEU,perm,mfh,1990,p2,0.12317888970107128
C-EEU-EST,EEU,perm,mfh,1995,p3,0.016117128233974584
C-EEU-EST,EEU,perm,mfh,2000,p3,0.035282520933648774
C-EEU-EST,EEU,perm,mfh,2005,p3,0.026104645682554144
C-EEU-EST,EEU,perm,mfh,2010,p3,0.036582555017963155
