year,region_bld,clim,arch,mat,urt,Occupied conventional dwellings,Unoccupied conventional dwellings
2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,perm,rur,89741.0,43183.0
2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,perm,urb,875108.0,429357.0
2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,perm,rur,121124.0,111500.0
2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,perm,urb,561598.0,492038.0
2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,perm,rur,31585.0,21676.0
2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,perm,urb,705241.0,287740.0
2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,perm,rur,9263.999999999998,11764.999999999998
2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,perm,urb,207249.99999999997,260415.0
2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,perm,rur,614741.0,121898.99999999999
2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,perm,urb,2585368.0,403839.0
2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,perm,rur,321557.0,114042.0
2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,perm,urb,958472.9999999999,220114.0
2015,C-EEU-EST,Zone_6A Cold Humid,mfh,perm,rur,63033.0,25956.0
2015,C-EEU-EST,Zone_6A Cold Humid,mfh,perm,urb,339687.0,97631.0
2015,C-EEU-EST,Zone_6A Cold Humid,sfh,perm,rur,51947.0,20360.0
2015,C-EEU-EST,Zone_6A Cold Humid,sfh,perm,urb,102478.99999999999,31743.0
2015,C-EEU-HRV,Zone_3A Warm Humid,mfh,perm,rur,51317.0,62070.0
2015,C-EEU-HRV,Zone_3A Warm Humid,sfh,perm,rur,27854.0,39218.0
2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,perm,rur,171341.0,87010.99999999999
2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,perm,urb,507205.0,253535.0
2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,perm,rur,345730.0,227771.0
2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,perm,urb,252699.0,157356.0
2015,C-EEU-HRV,Zone_4C Mixed Marine,mfh,perm,rur,36388.0,63302.0
2015,C-EEU-HRV,Zone_4C Mixed Marine,sfh,perm,rur,23455.999999999996,33756.99999999999
2015,C-EEU-HRV,Zone_5A Cool Humid,mfh,perm,rur,7192.0,16829.0
2015,C-EEU-HRV,Zone_5A Cool Humid,sfh,perm,rur,10252.0,17635.0
2015,C-EEU-HUN,Zone_4A Mixed Humid,mfh,perm,rur,87595.99999999999,26183.0
