region_bld,clim,region_gea,urt,mat,arch,yr_con,bld_age,Occupied conventional dwellings,Unoccupied conventional dwellings
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1945,p1,17231.972392171167,29022.999999999993
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1960,p2,41435.55113771218,38805.99999999999
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1965,p2,33325.25655599711,18201.93413014298
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1970,p2,23441.75276247721,12803.659559551761
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1975,p2,22083.401415644854,12061.741138035988
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1980,p2,20834.61343589856,11379.665172269242
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1985,p2,22252.86803777609,11413.281235046248
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1990,p2,13940.026519886787,7149.705054889236
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,1995,p3,2748.239915016621,1409.5457267897805
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,2000,p3,5247.647948584756,2691.467983274699
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,2005,p3,2054.9500115033525,1689.185547559944
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,2010,p3,2365.9310175762257,1944.8144524400377
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,2015,p3,1808.2653990696942,1676.9999999999914
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,mfh,2020,p3,2094.523450685274,4431.999999999995
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1945,p1,17231.972392171167,29022.999999999993
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1960,p2,41435.55113771218,38805.99999999999
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1965,p2,33325.25655599711,18201.93413014298
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1970,p2,23441.75276247721,12803.659559551761
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1975,p2,22083.401415644854,12061.741138035988
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1980,p2,20834.61343589856,11379.665172269242
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1985,p2,22252.86803777609,11413.281235046248
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1990,p2,13940.026519886787,7149.705054889236
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,1995,p3,2748.239915016621,1409.5457267897805
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,2000,p3,5247.647948584756,2691.467983274699
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,2005,p3,2054.9499733378007,1689.1855161875553
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,2010,p3,2365.9310557417734,1944.8144838124308
C-EEU-BGR,Zone_4A Mixed Humid,EEU,rur,perm,sfh,2015,p3,1808.2653990696942,1676.9999999999914
