,year,region_bld,clim,arch,urt,value,region_gea
258,2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,43183.0,EEU
259,2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,429357.0,EEU
260,2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,111500.0,EEU
261,2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,492038.0,EEU
262,2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,21676.0,EEU
263,2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,287740.0,EEU
264,2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,11765.0,EEU
265,2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,260415.0,EEU
266,2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,121899.0,EEU
267,2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,403839.0,EEU
268,2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,114042.0,EEU
269,2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,220114.0,EEU
270,2020,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,25956.0,EEU
271,2020,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,97631.0,EEU
272,2020,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,20360.0,EEU
273,2020,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,31743.0,EEU
274,2020,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,62070.0,EEU
275,2020,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,39218.0,EEU
276,2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,87011.0,EEU
277,2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,253535.0,EEU
278,2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,227771.0,EEU
279,2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,157356.0,EEU
280,2020,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,63302.0,EEU
