region_bld,region_nuts,clim,arch,urt,value
C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,mfh,urb,4768.0
C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,mfh,rur,4768.0
C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,sfh,urb,15748.5
C-EEU-BGR,C-EEU-BGR-BG311,Zone_4A Mixed Humid,sfh,rur,15748.5
C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,mfh,urb,4125.5
C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,mfh,rur,4125.5
C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,sfh,urb,16870.0
C-EEU-BGR,C-EEU-BGR-BG312,Zone_4A Mixed Humid,sfh,rur,16870.0
C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,mfh,urb,6491.5
C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,mfh,rur,6491.5
C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,sfh,urb,20346.0
C-EEU-BGR,C-EEU-BGR-BG313,Zone_4A Mixed Humid,sfh,rur,20346.0
C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,mfh,urb,7938.5
C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,mfh,rur,7938.5
C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,sfh,urb,17520.5
C-EEU-BGR,C-EEU-BGR-BG314,Zone_4A Mixed Humid,sfh,rur,17520.5
C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,mfh,urb,4340.0
C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,mfh,rur,4340.0
C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,sfh,urb,18253.0
C-EEU-BGR,C-EEU-BGR-BG315,Zone_4A Mixed Humid,sfh,rur,18253.0
C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,mfh,urb,10359.5
C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,mfh,rur,10359.5
C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,sfh,urb,18856.0
C-EEU-BGR,C-EEU-BGR-BG321,Zone_4A Mixed Humid,sfh,rur,18856.0
C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,mfh,urb,6431.5
C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,mfh,rur,6431.5
C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,sfh,urb,11175.0
C-EEU-BGR,C-EEU-BGR-BG322,Zone_5A Cool Humid,sfh,rur,11175.0
C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,mfh,urb,6789.5
C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,mfh,rur,6789.5
C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,sfh,urb,12840.0
C-EEU-BGR,C-EEU-BGR-BG323,Zone_4A Mixed Humid,sfh,rur,12840.0
C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,mfh,urb,2579.5
C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,mfh,rur,2579.5
C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,sfh,urb,6969.0
C-EEU-BGR,C-EEU-BGR-BG324,Zone_4A Mixed Humid,sfh,rur,6969.0
C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,mfh,urb,3163.0
C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,mfh,rur,3163.0
C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,sfh,urb,6579.0
C-EEU-BGR,C-EEU-BGR-BG325,Zone_4A Mixed Humid,sfh,rur,6579.0
C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,mfh,urb,29867.0
C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,mfh,rur,29867.0
C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,sfh,urb,23250.5
C-EEU-BGR,C-EEU-BGR-BG331,Zone_4A Mixed Humid,sfh,rur,23250.5
C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,mfh,urb,7593.0
C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,mfh,rur,7593.0
C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,sfh,urb,13569.0
C-EEU-BGR,C-EEU-BGR-BG332,Zone_4A Mixed Humid,sfh,rur,13569.0
C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,mfh,urb,4896.0
C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,mfh,rur,4896.0
C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,sfh,urb,9101.0
C-EEU-BGR,C-EEU-BGR-BG333,Zone_4A Mixed Humid,sfh,rur,9101.0
C-EEU-BGR,C-EEU-BGR-BG334,Zone_4A Mixed Humid,mfh,urb,3786.5
C-EEU-BGR,C-EEU-BGR-BG334,Zone_4A Mixed Humid,mfh,rur,3786.5
C-EEU-BGR,C-EEU-BGR-BG334,Zone_4A Mixed Humid,sfh,urb,8897.5
C-EEU-BGR,C-EEU-BGR-BG334,Zone_4A Mixed Humid,sfh,rur,8897.5
C-EEU-BGR,C-EEU-BGR-BG341,Zone_4A Mixed Humid,mfh,urb,67116.0
C-EEU-BGR,C-EEU-BGR-BG341,Zone_4A Mixed Humid,mfh,rur,67116.0
C-EEU-BGR,C-EEU-BGR-BG341,Zone_4A Mixed Humid,sfh,urb,20463.5
C-EEU-BGR,C-EEU-BGR-BG341,Zone_4A Mixed Humid,sfh,rur,20463.5
C-EEU-BGR,C-EEU-BGR-BG342,Zone_5A Cool Humid,mfh,urb,5282.5
C-EEU-BGR,C-EEU-BGR-BG342,Zone_5A Cool Humid,mfh,rur,5282.5
C-EEU-BGR,C-EEU-BGR-BG342,Zone_5A Cool Humid,sfh,urb,11298.5
C-EEU-BGR,C-EEU-BGR-BG342,Zone_5A Cool Humid,sfh,rur,11298.5
C-EEU-BGR,C-EEU-BGR-BG343,Zone_4A Mixed Humid,mfh,urb,4588.0
C-EEU-BGR,C-EEU-BGR-BG343,Zone_4A Mixed Humid,mfh,rur,4588.0
C-EEU-BGR,C-EEU-BGR-BG343,Zone_4A Mixed Humid,sfh,urb,8089.0
C-EEU-BGR,C-EEU-BGR-BG343,Zone_4A Mixed Humid,sfh,rur,8089.0
C-EEU-BGR,C-EEU-BGR-BG344,Zone_4A Mixed Humid,mfh,urb,14712.5
C-EEU-BGR,C-EEU-BGR-BG344,Zone_4A Mixed Humid,mfh,rur,14712.5
C-EEU-BGR,C-EEU-BGR-BG344,Zone_4A Mixed Humid,sfh,urb,19013.5
C-EEU-BGR,C-EEU-BGR-BG344,Zone_4A Mixed Humid,sfh,rur,19013.5
C-EEU-BGR,C-EEU-BGR-BG411,Zone_5A Cool Humid,mfh,urb,94697.5
C-EEU-BGR,C-EEU-BGR-BG411,Zone_5A Cool Humid,mfh,rur,94697.5
C-EEU-BGR,C-EEU-BGR-BG411,Zone_5A Cool Humid,sfh,urb,19984.0
C-EEU-BGR,C-EEU-BGR-BG411,Zone_5A Cool Humid,sfh,rur,19984.0
C-EEU-BGR,C-EEU-BGR-BG412,Zone_5A Cool Humid,mfh,urb,6963.0
C-EEU-BGR,C-EEU-BGR-BG412,Zone_5A Cool Humid,mfh,rur,6963.0
C-EEU-BGR,C-EEU-BGR-BG412,Zone_5A Cool Humid,sfh,urb,38600.5
C-EEU-BGR,C-EEU-BGR-BG412,Zone_5A Cool Humid,sfh,rur,38600.5
C-EEU-BGR,C-EEU-BGR-BG413,Zone_5A Cool Humid,mfh,urb,17067.0
C-EEU-BGR,C-EEU-BGR-BG413,Zone_5A Cool Humid,mfh,rur,17067.0
C-EEU-BGR,C-EEU-BGR-BG413,Zone_5A Cool Humid,sfh,urb,13063.5
C-EEU-BGR,C-EEU-BGR-BG413,Zone_5A Cool Humid,sfh,rur,13063.5
C-EEU-BGR,C-EEU-BGR-BG414,Zone_5A Cool Humid,mfh,urb,6411.0
C-EEU-BGR,C-EEU-BGR-BG414,Zone_5A Cool Humid,mfh,rur,6411.0
C-EEU-BGR,C-EEU-BGR-BG414,Zone_5A Cool Humid,sfh,urb,20322.5
C-EEU-BGR,C-EEU-BGR-BG414,Zone_5A Cool Humid,sfh,rur,20322.5
C-EEU-BGR,C-EEU-BGR-BG415,Zone_5A Cool Humid,mfh,urb,7017.5
C-EEU-BGR,C-EEU-BGR-BG415,Zone_5A Cool Humid,mfh,rur,7017.5
C-EEU-BGR,C-EEU-BGR-BG415,Zone_5A Cool Humid,sfh,urb,15763.5
C-EEU-BGR,C-EEU-BGR-BG415,Zone_5A Cool Humid,sfh,rur,15763.5
C-EEU-BGR,C-EEU-BGR-BG421,Zone_4A Mixed Humid,mfh,urb,29548.0
C-EEU-BGR,C-EEU-BGR-BG421,Zone_4A Mixed Humid,mfh,rur,29548.0
C-EEU-BGR,C-EEU-BGR-BG421,Zone_4A Mixed Humid,sfh,urb,25954.5
C-EEU-BGR,C-EEU-BGR-BG421,Zone_4A Mixed Humid,sfh,rur,25954.5
C-EEU-BGR,C-EEU-BGR-BG422,Zone_4A Mixed Humid,mfh,urb,8433.5
C-EEU-BGR,C-EEU-BGR-BG422,Zone_4A Mixed Humid,mfh,rur,8433.5
C-EEU-BGR,C-EEU-BGR-BG422,Zone_4A Mixed Humid,sfh,urb,15202.0
C-EEU-BGR,C-EEU-BGR-BG422,Zone_4A Mixed Humid,sfh,rur,15202.0
C-EEU-BGR,C-EEU-BGR-BG423,Zone_4A Mixed Humid,mfh,urb,8433.5
C-EEU-BGR,C-EEU-BGR-BG423,Zone_4A Mixed Humid,mfh,rur,8433.5
C-EEU-BGR,C-EEU-BGR-BG423,Zone_4A Mixed Humid,sfh,urb,16046.0
C-EEU-BGR,C-EEU-BGR-BG423,Zone_4A Mixed Humid,sfh,rur,16046.0
C-EEU-BGR,C-EEU-BGR-BG424,Zone_5A Cool Humid,mfh,urb,10838.0
