region_bld,material,year,eol_treat,value
C-EEU-BGR,aluminum,2015,downcycling,0
C-EEU-BGR,aluminum,2015,incineration,0
C-EEU-BGR,aluminum,2015,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2015,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2015,reuse,0
C-EEU-BGR,aluminum,2020,downcycling,0
C-EEU-BGR,aluminum,2020,incineration,0
C-EEU-BGR,aluminum,2020,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2020,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2020,reuse,0
C-EEU-BGR,aluminum,2025,downcycling,0
C-EEU-BGR,aluminum,2025,incineration,0
C-EEU-BGR,aluminum,2025,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2025,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2025,reuse,0
C-EEU-BGR,aluminum,2030,downcycling,0
C-EEU-BGR,aluminum,2030,incineration,0
C-EEU-BGR,aluminum,2030,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2030,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2030,reuse,0
C-EEU-BGR,aluminum,2035,downcycling,0
C-EEU-BGR,aluminum,2035,incineration,0
C-EEU-BGR,aluminum,2035,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2035,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2035,reuse,0
C-EEU-BGR,aluminum,2040,downcycling,0
C-EEU-BGR,aluminum,2040,incineration,0
C-EEU-BGR,aluminum,2040,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2040,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2040,reuse,0
C-EEU-BGR,aluminum,2045,downcycling,0
C-EEU-BGR,aluminum,2045,incineration,0
C-EEU-BGR,aluminum,2045,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2045,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2045,reuse,0
C-EEU-BGR,aluminum,2050,downcycling,0
C-EEU-BGR,aluminum,2050,incineration,0
C-EEU-BGR,aluminum,2050,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2050,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2050,reuse,0
C-EEU-BGR,aluminum,2055,downcycling,0
C-EEU-BGR,aluminum,2055,incineration,0
C-EEU-BGR,aluminum,2055,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2055,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2055,reuse,0
C-EEU-BGR,aluminum,2060,downcycling,0
C-EEU-BGR,aluminum,2060,incineration,0
C-EEU-BGR,aluminum,2060,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2060,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2060,reuse,0
C-EEU-BGR,aluminum,2065,downcycling,0
C-EEU-BGR,aluminum,2065,incineration,0
C-EEU-BGR,aluminum,2065,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2065,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2065,reuse,0
C-EEU-BGR,aluminum,2070,downcycling,0
C-EEU-BGR,aluminum,2070,incineration,0
C-EEU-BGR,aluminum,2070,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2070,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2070,reuse,0
C-EEU-BGR,aluminum,2075,downcycling,0
C-EEU-BGR,aluminum,2075,incineration,0
C-EEU-BGR,aluminum,2075,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2075,recycling,0.9999460579122256
C-EEU-BGR,aluminum,2075,reuse,0
C-EEU-BGR,aluminum,2080,downcycling,0
C-EEU-BGR,aluminum,2080,incineration,0
C-EEU-BGR,aluminum,2080,landfilling,5.3942087774565224e-5
C-EEU-BGR,aluminum,2080,recycling,0.9999460579122256
