,NUTS-3 Code,clim
0,AL011,Zone_5C Cool Marine
1,AL012,Zone_3A Warm Humid
2,AL013,Zone_5C Cool Marine
3,AL014,Zone_3A Warm Humid
4,AL015,Zone_6C Cold Marine
5,AL021,Zone_4C Mixed Marine
6,AL022,Zone_3A Warm Humid
7,AL031,Zone_4C Mixed Marine
8,AL032,Zone_3A Warm Humid
9,AL033,Zone_5C Cool Marine
10,AL034,Zone_5C Cool Marine
11,AL035,Zone_3A Warm Humid
12,AT111,Zone_5A Cool Humid
13,AT112,Zone_4A Mixed Humid
14,AT113,Zone_5A Cool Humid
15,AT121,Zone_5A Cool Humid
16,AT122,Zone_5A Cool Humid
17,AT123,Zone_5A Cool Humid
18,AT124,Zone_5A Cool Humid
19,AT125,Zone_5A Cool Humid
20,AT126,Zone_5A Cool Humid
21,AT127,Zone_4A Mixed Humid
22,AT130,Zone_4A Mixed Humid
23,AT211,Zone_6A Cold Humid
24,AT212,Zone_7A Very cold Humid
25,AT213,Zone_5A Cool Humid
26,AT221,Zone_6A Cold Humid
27,AT222,Zone_6A Cold Humid
28,AT223,Zone_6A Cold Humid
29,AT224,Zone_4A Mixed Humid
30,AT225,Zone_5A Cool Humid
31,AT226,Zone_6A Cold Humid
32,AT311,Zone_5A Cool Humid
33,AT312,Zone_5A Cool Humid
34,AT313,Zone_5A Cool Humid
35,AT314,Zone_6A Cold Humid
36,AT315,Zone_6A Cold Humid
37,AT321,Zone_7A Very cold Humid
38,AT322,Zone_7A Very cold Humid
39,AT323,Zone_6A Cold Humid
40,AT331,Zone_7A Very cold Humid
41,AT332,Zone_7A Very cold Humid
42,AT333,Zone_7A Very cold Humid
43,AT334,Zone_7A Very cold Humid
44,AT335,Zone_6A Cold Humid
45,AT341,Zone_6A Cold Humid
46,AT342,Zone_6A Cold Humid
47,BE100,Zone_4A Mixed Humid
48,BE211,Zone_4A Mixed Humid
49,BE212,Zone_4A Mixed Humid
50,BE213,Zone_4A Mixed Humid
51,BE223,Zone_4A Mixed Humid
52,BE224,Zone_4A Mixed Humid
53,BE225,Zone_4A Mixed Humid
54,BE231,Zone_4A Mixed Humid
55,BE232,Zone_4A Mixed Humid
56,BE233,Zone_4A Mixed Humid
57,BE234,Zone_4A Mixed Humid
58,BE235,Zone_4A Mixed Humid
59,BE236,Zone_4A Mixed Humid
60,BE241,Zone_4A Mixed Humid
61,BE242,Zone_4A Mixed Humid
62,BE251,Zone_4A Mixed Humid
63,BE252,Zone_4A Mixed Humid
64,BE253,Zone_4A Mixed Humid
65,BE254,Zone_4A Mixed Humid
66,BE255,Zone_4A Mixed Humid
67,BE256,Zone_4A Mixed Humid
68,BE257,Zone_4A Mixed Humid
69,BE258,Zone_4A Mixed Humid
70,BE310,Zone_4A Mixed Humid
71,BE323,Zone_4A Mixed Humid
72,BE328,Zone_4A Mixed Humid
73,BE329,Zone_4A Mixed Humid
74,BE32A,Zone_4A Mixed Humid
75,BE32B,Zone_5A Cool Humid
76,BE32C,Zone_4A Mixed Humid
77,BE32D,Zone_4A Mixed Humid
78,BE331,Zone_4A Mixed Humid
79,BE332,Zone_4A Mixed Humid
80,BE334,Zone_4A Mixed Humid
81,BE335,Zone_5A Cool Humid
82,BE336,Zone_5A Cool Humid
83,BE341,Zone_5A Cool Humid
84,BE342,Zone_5A Cool Humid
85,BE343,Zone_5A Cool Humid
86,BE344,Zone_5A Cool Humid
87,BE345,Zone_5A Cool Humid
88,BE351,Zone_5A Cool Humid
89,BE352,Zone_5A Cool Humid
90,BE353,Zone_5A Cool Humid
91,BG311,Zone_4A Mixed Humid
92,BG312,Zone_4A Mixed Humid
93,BG313,Zone_4A Mixed Humid
94,BG314,Zone_4A Mixed Humid
95,BG315,Zone_4A Mixed Humid
96,BG321,Zone_4A Mixed Humid
97,BG322,Zone_5A Cool Humid
98,BG323,Zone_4A Mixed Humid
99,BG324,Zone_4A Mixed Humid
100,BG325,Zone_4A Mixed Humid
101,BG331,Zone_4A Mixed Humid
102,BG332,Zone_4A Mixed Humid
103,BG333,Zone_4A Mixed Humid
104,BG334,Zone_4A Mixed Humid
105,BG341,Zone_4A Mixed Humid
106,BG342,Zone_5A Cool Humid
107,BG343,Zone_4A Mixed Humid
108,BG344,Zone_4A Mixed Humid
109,BG411,Zone_5A Cool Humid
110,BG412,Zone_5A Cool Humid
111,BG413,Zone_5A Cool Humid
112,BG414,Zone_5A Cool Humid
113,BG415,Zone_5A Cool Humid
114,BG421,Zone_4A Mixed Humid
115,BG422,Zone_4A Mixed Humid
116,BG423,Zone_4A Mixed Humid
117,BG424,Zone_5A Cool Humid
118,BG425,Zone_4A Mixed Humid
119,CH011,Zone_5A Cool Humid
120,CH012,Zone_7A Very cold Humid
121,CH013,Zone_5A Cool Humid
122,CH021,Zone_5A Cool Humid
123,CH022,Zone_5A Cool Humid
124,CH023,Zone_5A Cool Humid
125,CH024,Zone_5A Cool Humid
126,CH025,Zone_5A Cool Humid
