NUTS-3 Code,region_nuts,region_bld,code_1999,code_2003,code_2006,code_2010,code_2013,code_2016,code_2021
BE100,C-WEU-BEL-BE100,C-WEU-BEL,BE1,BE100,BE100,BE100,BE100,BE100,BE100
BE211,C-WEU-BEL-BE211,C-WEU-BEL,BE211,BE211,BE211,BE211,BE211,BE211,BE211
BE212,C-WEU-BEL-BE212,C-WEU-BEL,BE212,BE212,BE212,BE212,BE212,BE212,BE212
BE213,C-WEU-BEL-BE213,C-WEU-BEL,BE213,BE213,BE213,BE213,BE213,BE213,BE213
BE223,C-WEU-BEL-BE223,C-WEU-BEL,BE223,BE223,BE223,BE223,BE223,BE223,BE223
BE224,C-WEU-BEL-BE224,C-WEU-BEL,BE223,BE223,BE223,BE223,BE223,BE221,BE224
BE225,C-WEU-BEL-BE225,C-WEU-BEL,BE223,BE223,BE223,BE223,BE223,BE222,BE225
BE231,C-WEU-BEL-BE231,C-WEU-BEL,BE231,BE231,BE231,BE231,BE231,BE231,BE231
BE232,C-WEU-BEL-BE232,C-WEU-BEL,BE232,BE232,BE232,BE232,BE232,BE232,BE232
BE233,C-WEU-BEL-BE233,C-WEU-BEL,BE233,BE233,BE233,BE233,BE233,BE233,BE233
BE234,C-WEU-BEL-BE234,C-WEU-BEL,BE234,BE234,BE234,BE234,BE234,BE234,BE234
BE235,C-WEU-BEL-BE235,C-WEU-BEL,BE235,BE235,BE235,BE235,BE235,BE235,BE235
BE236,C-WEU-BEL-BE236,C-WEU-BEL,BE236,BE236,BE236,BE236,BE236,BE236,BE236
BE241,C-WEU-BEL-BE241,C-WEU-BEL,BE241,BE241,BE241,BE241,BE241,BE241,BE241
BE242,C-WEU-BEL-BE242,C-WEU-BEL,BE242,BE242,BE242,BE242,BE242,BE242,BE242
BE251,C-WEU-BEL-BE251,C-WEU-BEL,BE251,BE251,BE251,BE251,BE251,BE251,BE251
BE252,C-WEU-BEL-BE252,C-WEU-BEL,BE252,BE252,BE252,BE252,BE252,BE252,BE252
BE253,C-WEU-BEL-BE253,C-WEU-BEL,BE253,BE253,BE253,BE253,BE253,BE253,BE253
BE254,C-WEU-BEL-BE254,C-WEU-BEL,BE254,BE254,BE254,BE254,BE254,BE254,BE254
BE255,C-WEU-BEL-BE255,C-WEU-BEL,BE255,BE255,BE255,BE255,BE255,BE255,BE255
BE256,C-WEU-BEL-BE256,C-WEU-BEL,BE256,BE256,BE256,BE256,BE256,BE256,BE256
BE257,C-WEU-BEL-BE257,C-WEU-BEL,BE257,BE257,BE257,BE257,BE257,BE257,BE257
BE258,C-WEU-BEL-BE258,C-WEU-BEL,BE258,BE258,BE258,BE258,BE258,BE258,BE258
BE310,C-WEU-BEL-BE310,C-WEU-BEL,BE31,BE310,BE310,BE310,BE310,BE310,BE310
BE323,C-WEU-BEL-BE323,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE323,BE323
BE328,C-WEU-BEL-BE328,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE323,BE328
BE329,C-WEU-BEL-BE329,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE323,BE329
BE32A,C-WEU-BEL-BE32A,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE321,BE32A
BE32B,C-WEU-BEL-BE32B,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE322,BE32B
BE32C,C-WEU-BEL-BE32C,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE325,BE32C
BE32D,C-WEU-BEL-BE32D,C-WEU-BEL,BE323,BE323,BE323,BE323,BE323,BE326,BE32D
BE331,C-WEU-BEL-BE331,C-WEU-BEL,BE331,BE331,BE331,BE331,BE331,BE331,BE331
BE332,C-WEU-BEL-BE332,C-WEU-BEL,BE332,BE332,BE332,BE332,BE332,BE332,BE332
BE334,C-WEU-BEL-BE334,C-WEU-BEL,BE334,BE334,BE334,BE334,BE334,BE334,BE334
BE335,C-WEU-BEL-BE335,C-WEU-BEL,BE334,BE334,BE335,BE335,BE335,BE335,BE335
BE336,C-WEU-BEL-BE336,C-WEU-BEL,BE334,BE334,BE336,BE336,BE336,BE336,BE336
BE341,C-WEU-BEL-BE341,C-WEU-BEL,BE341,BE341,BE341,BE341,BE341,BE341,BE341
BE342,C-WEU-BEL-BE342,C-WEU-BEL,BE342,BE342,BE342,BE342,BE342,BE342,BE342
BE343,C-WEU-BEL-BE343,C-WEU-BEL,BE343,BE343,BE343,BE343,BE343,BE343,BE343
BE344,C-WEU-BEL-BE344,C-WEU-BEL,BE344,BE344,BE344,BE344,BE344,BE344,BE344
BE345,C-WEU-BEL-BE345,C-WEU-BEL,BE345,BE345,BE345,BE345,BE345,BE345,BE345
BE351,C-WEU-BEL-BE351,C-WEU-BEL,BE351,BE351,BE351,BE351,BE351,BE351,BE351
BE352,C-WEU-BEL-BE352,C-WEU-BEL,BE352,BE352,BE352,BE352,BE352,BE352,BE352
BE353,C-WEU-BEL-BE353,C-WEU-BEL,BE353,BE353,BE353,BE353,BE353,BE353,BE353
BG311,C-EEU-BGR-BG311,C-EEU-BGR,BE353,BG111,BG311,BG311,BG311,BG311,BG311
BG312,C-EEU-BGR-BG312,C-EEU-BGR,BE353,BG112,BG312,BG312,BG312,BG312,BG312
BG313,C-EEU-BGR-BG313,C-EEU-BGR,BE353,BG113,BG313,BG313,BG313,BG313,BG313
BG314,C-EEU-BGR-BG314,C-EEU-BGR,BE353,BG121,BG314,BG314,BG314,BG314,BG314
BG315,C-EEU-BGR-BG315,C-EEU-BGR,BE353,BG122,BG315,BG315,BG315,BG315,BG315
BG321,C-EEU-BGR-BG321,C-EEU-BGR,BE353,BG123,BG321,BG321,BG321,BG321,BG321
BG322,C-EEU-BGR-BG322,C-EEU-BGR,BE353,BG124,BG322,BG322,BG322,BG322,BG322
BG323,C-EEU-BGR-BG323,C-EEU-BGR,BE353,BG125,BG323,BG323,BG323,BG323,BG323
BG324,C-EEU-BGR-BG324,C-EEU-BGR,BE353,BG135,BG324,BG324,BG324,BG324,BG324
BG325,C-EEU-BGR-BG325,C-EEU-BGR,BE353,BG136,BG325,BG325,BG325,BG325,BG325
BG331,C-EEU-BGR-BG331,C-EEU-BGR,BE353,BG131,BG331,BG331,BG331,BG331,BG331
