DATAFLOW,LAST UPDATE,freq,hhcaract,deg_urb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Austria,2020,2.02,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Belgium,2020,2.11,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Bulgaria,2020,2.06,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Cyprus,2020,2.51,e,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Czechia,2020,2.2,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Germany,2020,1.85,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Denmark,2020,1.96,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Estonia,2020,2.09,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Greece,2020,2.42,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Spain,2020,2.43,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,European Union - 27 countries (from 2020),2020,2.18,e,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Finland,2020,1.81,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,France,2020,2.13,e,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Croatia,2020,2.62,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Hungary,2020,2.09,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Ireland,2020,2.6,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Italy,2020,2.21,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Lithuania,2020,1.81,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Luxembourg,2020,1.87,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Latvia,2020,2.15,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Malta,2020,2.58,e,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Netherlands,2020,2.08,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Norway,2020,1.96,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Poland,2020,2.44,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Portugal,2020,2.47,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Romania,2020,2.37,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Slovenia,2020,2.27,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Cities,Slovakia,2020,2.67,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Austria,2020,2.16,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Belgium,2020,2.29,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Bulgaria,2020,2.33,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Cyprus,2020,2.94,e,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Czechia,2020,2.28,,
ESTAT:HBS_CAR_T315(1.0),15/10/25 23:00:00,Annual,Average number of persons in the household,Towns and suburbs,Germany,2020,2.12,,
