STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,rskpovth,Risk of poverty threshold,building,Type of building,deg_urb,Degree of urbanisation,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,AL,Albania,2021,,13.3,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,AT,Austria,2021,,26.7,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,AT,Austria,2025,,29.3,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,BE,Belgium,2021,,13.9,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,BE,Belgium,2025,,14.3,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,BG,Bulgaria,2021,,35.5,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,BG,Bulgaria,2025,,34.1,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,CH,Switzerland,2021,,28.1,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,CY,Cyprus,2021,,19.6,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,CY,Cyprus,2025,,18.9,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,CZ,Czechia,2021,,24.2,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,CZ,Czechia,2025,,24.9,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,DE,Germany,2021,,29.3,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,DE,Germany,2025,,29.6,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,DK,Denmark,2021,,23.1,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,DK,Denmark,2025,,21.6,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Cities,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,,28.6,,,,,
dataflow,ESTAT:ILC_LVHO01(1.0),"Distribution of population by degree of urbanisation, dwelling type and income group",A,Annual,TOTAL,Total,FLAT,Flat,DEG1,Citie
