DATAFLOW,LAST UPDATE,freq,deg_urb,hhcomp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Austria,2023,81.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Belgium,2023,119.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Bulgaria,2023,75.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Switzerland,2023,96.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Cyprus,2023,146.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Czechia,2023,77.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Germany,2023,88.4,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Denmark,2023,103.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Euro area – 20 countries (2023-2025),2023,93.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Estonia,2023,67.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Greece,2023,87.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Spain,2023,96.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,European Union - 27 countries (from 2020),2023,90.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,Finland,2023,86.2,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Cities,Total,Square metre,France,2023,82.0,,
