NUTS_ID,urt,degurba,degurba_name,year,population
AL011,rur,310,water,2010,146183
AL012,rur,310,water,2010,211272
AL013,rur,310,water,2010,86381
AL014,rur,310,water,2010,137402
AL015,rur,310,water,2010,224227
AL021,rur,310,water,2010,310337
AL022,rur,310,water,2010,776392
AL031,rur,310,water,2010,148563
AL032,rur,310,water,2010,342333
AL033,rur,310,water,2010,77213
AL033,rur,311,rural_verylowdensity,2010,337
AL034,rur,310,water,2010,239830
AL034,rur,311,rural_verylowdensity,2010,155
AL035,rur,310,water,2010,160571
AL035,rur,311,rural_verylowdensity,2010,57
AT111,rur,311,rural_verylowdensity,2010,8755
AT111,rur,312,rural_lowdensity,2010,17649
AT111,rur,313,rural_cluster,2010,12353
AT112,sub,221,suburban,2010,24869
AT112,sub,222,urban_cluster_semidense,2010,7550
AT112,sub,223,urban_cluster_dense,2010,8358
AT112,rur,310,water,2010,103
AT112,rur,311,rural_verylowdensity,2010,22162
AT112,rur,312,rural_lowdensity,2010,27287
AT112,rur,313,rural_cluster,2010,58219
AT113,sub,221,suburban,2010,3989
AT113,sub,222,urban_cluster_semidense,2010,11478
AT113,rur,311,rural_verylowdensity,2010,26740
AT113,rur,312,rural_lowdensity,2010,53676
AT113,rur,313,rural_cluster,2010,13535
AT121,sub,221,suburban,2010,27036
AT121,sub,222,urban_cluster_semidense,2010,22693
AT121,rur,310,water,2010,77
AT121,rur,311,rural_verylowdensity,2010,76997
AT121,rur,312,rural_lowdensity,2010,73558
AT121,rur,313,rural_cluster,2010,36807
AT122,sub,221,suburban,2010,61372
AT122,sub,222,urban_cluster_semidense,2010,30237
AT122,sub,223,urban_cluster_dense,2010,35108
AT122,rur,311,rural_verylowdensity,2010,51978
AT122,rur,312,rural_lowdensity,2010,56361
AT122,rur,313,rural_cluster,2010,27438
AT123,sub,221,suburban,2010,31152
AT123,sub,222,urban_cluster_semidense,2010,5571
AT123,sub,223,urban_cluster_dense,2010,25560
AT123,rur,311,rural_verylowdensity,2010,30751
AT123,rur,312,rural_lowdensity,2010,35826
AT123,rur,313,rural_cluster,2010,17237
AT124,sub,221,suburban,2010,25943
AT124,sub,222,urban_cluster_semidense,2010,6330
AT124,sub,223,urban_cluster_dense,2010,11742
AT124,rur,311,rural_verylowdensity,2010,70348
AT124,rur,312,rural_lowdensity,2010,76066
AT124,rur,313,rural_cluster,2010,30494
AT125,sub,221,suburban,2010,4367
AT125,sub,222,urban_cluster_semidense,2010,7955
AT125,rur,311,rural_verylowdensity,2010,31100
AT125,rur,312,rural_lowdensity,2010,59095
AT125,rur,313,rural_cluster,2010,32283
AT126,urb,130,urban_centre,2010,41325
AT126,sub,221,suburban,2010,84066
AT126,sub,222,urban_cluster_semidense,2010,27187
AT126,sub,223,urban_cluster_dense,2010,37761
AT126,rur,311,rural_verylowdensity,2010,51416
AT126,rur,312,rural_lowdensity,2010,93377
AT126,rur,313,rural_cluster,2010,39788
AT127,urb,130,urban_centre,2010,89556
AT127,sub,221,suburban,2010,91052
AT127,sub,222,urban_cluster_semidense,2010,16840
AT127,sub,223,urban_cluster_dense,2010,61918
AT127,rur,311,rural_verylowdensity,2010,44950
AT127,rur,312,rural_lowdensity,2010,48108
AT127,rur,313,rural_cluster,2010,32552
AT130,urb,130,urban_centre,2010,1548420
AT130,sub,221,suburban,2010,55872
AT130,sub,223,urban_cluster_dense,2010,31481
AT130,rur,310,water,2010,285
AT130,rur,311,rural_verylowdensity,2010,21875
AT130,rur,312,rural_lowdensity,2010,24094
AT130,rur,313,rural_cluster,2010,3215
AT211,urb,130,urban_centre,2010,65828
AT211,sub,221,suburban,2010,42520
AT211,sub,223,urban_cluster_dense,2010,33581
AT211,rur,310,water,2010,122
AT211,rur,311,rural_verylowdensity,2010,33638
AT211,rur,312,rural_lowdensity,2010,71163
AT211,rur,313,rural_cluster,2010,30797
AT212,sub,221,suburban,2010,12380
AT212,sub,222,urban_cluster_semidense,2010,4756
AT212,sub,223,urban_cluster_dense,2010,5581
AT212,rur,310,water,2010,32
AT212,rur,311,rural_verylowdensity,2010,32845
AT212,rur,312,rural_lowdensity,2010,53252
AT212,rur,313,rural_cluster,2010,16228
AT213,sub,221,suburban,2010,11044
AT213,sub,223,urban_cluster_dense,2010,12495
AT213,rur,311,rural_verylowdensity,2010,57031
AT213,rur,312,rural_lowdensity,2010,52547
AT213,rur,313,rural_cluster,2010,23145
AT221,urb,130,urban_centre,2010,220115
AT221,sub,221,suburban,2010,66461
AT221,sub,222,urban_cluster_semidense,2010,14208
AT221,sub,223,urban_cluster_dense,2010,5838
AT221,rur,311,rural_verylowdensity,2010,17596
AT221,rur,312,rural_lowdensity,2010,59473
AT221,rur,313,rural_cluster,2010,11720
AT222,sub,223,urban_cluster_dense,2010,3152
AT222,rur,310,water,2010,9
AT222,rur,311,rural_verylowdensity,2010,24304
AT222,rur,312,rural_lowdensity,2010,27564
AT222,rur,313,rural_cluster,2010,23956
AT223,sub,221,suburban,2010,33904
AT223,sub,222,urban_cluster_semidense,2010,24646
AT223,sub,223,urban_cluster_dense,2010,14500
AT223,rur,311,rural_verylowdensity,2010,32629
AT223,rur,312,rural_lowdensity,2010,37512
AT223,rur,313,rural_cluster,2010,20428
AT224,sub,221,suburban,2010,21601
AT224,sub,222,urban_cluster_semidense,2010,13278
AT224,sub,223,urban_cluster_dense,2010,5661
AT224,rur,311,rural_verylowdensity,2010,68066
AT224,rur,312,rural_lowdensity,2010,139275
AT224,rur,313,rural_cluster,2010,23401
AT225,sub,221,suburban,2010,25813
AT225,sub,222,urban_cluster_semidense,2010,15153
AT225,sub,223,urban_cluster_dense,2010,8034
AT225,rur,311,rural_verylowdensity,2010,40338
AT225,rur,312,rural_lowdensity,2010,96221
AT225,rur,313,rural_cluster,2010,22693
AT226,sub,221,suburban,2010,14253
AT226,sub,222,urban_cluster_semidense,2010,14673
AT226,sub,223,urban_cluster_dense,2010,5975
AT226,rur,311,rural_verylowdensity,2010,27525
AT226,rur,312,rural_lowdensity,2010,28799
AT226,rur,313,rural_cluster,2010,10815
AT311,sub,221,suburban,2010,26571
AT311,sub,222,urban_cluster_semidense,2010,10223
AT311,sub,223,urban_cluster_dense,2010,14989
AT311,rur,310,water,2010,41
AT311,rur,311,rural_verylowdensity,2010,70435
AT311,rur,312,rural_lowdensity,2010,114316
AT311,rur,313,rural_cluster,2010,41806
AT312,urb,130,urban_centre,2010,189036
AT312,sub,221,suburban,2010,115864
AT312,sub,222,urban_cluster_semidense,2010,26653
AT312,sub,223,urban_cluster_dense,2010,31339
AT312,rur,310,water,2010,151
AT312,rur,311,rural_verylowdensity,2010,75804
AT312,rur,312,rural_lowdensity,2010,99562
AT312,rur,313,rural_cluster,2010,29850
AT313,sub,221,suburban,2010,15971
AT313,sub,222,urban_cluster_semidense,2010,13170
AT313,rur,311,rural_verylowdensity,2010,65895
AT313,rur,312,rural_lowdensity,2010,82002
AT313,rur,313,rural_cluster,2010,34932
AT314,sub,221,suburban,2010,24864
AT314,sub,222,urban_cluster_semidense,2010,8268
AT314,sub,223,urban_cluster_dense,2010,29153
AT314,rur,311,rural_verylowdensity,2010,33152
AT314,rur,312,rural_lowdensity,2010,40443
AT314,rur,313,rural_cluster,2010,19506
AT315,sub,221,suburban,2010,55618
AT315,sub,222,urban_cluster_semidense,2010,27434
AT315,sub,223,urban_cluster_dense,2010,12521
AT315,rur,310,water,2010,515
AT315,rur,311,rural_verylowdensity,2010,27783
AT315,rur,312,rural_lowdensity,2010,85023
AT315,rur,313,rural_cluster,2010,23030
AT321,rur,311,rural_verylowdensity,2010,5856
AT321,rur,312,rural_lowdensity,2010,7496
AT321,rur,313,rural_cluster,2010,7114
AT322,sub,221,suburban,2010,15821
AT322,sub,222,urban_cluster_semidense,2010,9828
AT322,sub,223,urban_cluster_dense,2010,13622
AT322,rur,310,water,2010,10
AT322,rur,311,rural_verylowdensity,2010,37338
AT322,rur,312,rural_lowdensity,2010,49531
AT322,rur,313,rural_cluster,2010,33931
AT323,urb,130,urban_centre,2010,134075
AT323,sub,221,suburban,2010,70308
AT323,sub,222,urban_cluster_semidense,2010,17017
AT323,sub,223,urban_cluster_dense,2010,28022
AT323,rur,310,water,2010,235
AT323,rur,311,rural_verylowdensity,2010,30871
AT323,rur,312,rural_lowdensity,2010,71298
AT323,rur,313,rural_cluster,2010,27243
AT331,sub,221,suburban,2010,5201
AT331,sub,222,urban_cluster_semidense,2010,5832
AT331,rur,310,water,2010,1
AT331,rur,311,rural_verylowdensity,2010,7031
AT331,rur,312,rural_lowdensity,2010,9228
AT331,rur,313,rural_cluster,2010,2012
AT332,urb,130,urban_centre,2010,101970
AT332,sub,221,suburban,2010,59089
AT332,sub,222,urban_cluster_semidense,2010,8360
AT332,sub,223,urban_cluster_dense,2010,40289
AT332,rur,311,rural_verylowdensity,2010,26539
AT332,rur,312,rural_lowdensity,2010,34552
AT332,rur,313,rural_cluster,2010,11047
AT333,sub,221,suburban,2010,6721
AT333,sub,223,urban_cluster_dense,2010,7414
AT333,rur,311,rural_verylowdensity,2010,13814
AT333,rur,312,rural_lowdensity,2010,16228
AT333,rur,313,rural_cluster,2010,4401
AT334,sub,221,suburban,2010,13104
AT334,sub,223,urban_cluster_dense,2010,10320
AT334,rur,311,rural_verylowdensity,2010,21061
AT334,rur,312,rural_lowdensity,2010,24716
AT334,rur,313,rural_cluster,2010,30502
AT335,sub,221,suburban,2010,59679
AT335,sub,222,urban_cluster_semidense,2010,13360
AT335,sub,223,urban_cluster_dense,2010,37632
AT335,rur,310,water,2010,85
AT335,rur,311,rural_verylowdensity,2010,45329
AT335,rur,312,rural_lowdensity,2010,60214
AT335,rur,313,rural_cluster,2010,31312
AT341,sub,221,suburban,2010,21590
AT341,sub,222,urban_cluster_semidense,2010,6070
AT341,sub,223,urban_cluster_dense,2010,9852
AT341,rur,310,water,2010,31
AT341,rur,311,rural_verylowdensity,2010,17625
AT341,rur,312,rural_lowdensity,2010,22305
AT341,rur,313,rural_cluster,2010,9549
AT342,urb,130,urban_centre,2010,44753
AT342,sub,221,suburban,2010,83779
AT342,sub,222,urban_cluster_semidense,2010,5764
AT342,sub,223,urban_cluster_dense,2010,120691
AT342,rur,310,water,2010,50
AT342,rur,311,rural_verylowdensity,2010,18578
AT342,rur,312,rural_lowdensity,2010,25164
AT342,rur,313,rural_cluster,2010,3748
BE100,urb,130,urban_centre,2010,1098871
BE100,sub,221,suburban,2010,18792
BE100,sub,222,urban_cluster_semidense,2010,3636
BE100,rur,311,rural_verylowdensity,2010,1460
BE100,rur,312,rural_lowdensity,2010,12610
BE211,urb,130,urban_centre,2010,457366
BE211,sub,221,suburban,2010,180589
BE211,sub,222,urban_cluster_semidense,2010,57435
BE211,sub,223,urban_cluster_dense,2010,137132
BE211,rur,310,water,2010,8824
BE211,rur,311,rural_verylowdensity,2010,124881
BE211,rur,312,rural_lowdensity,2010,66381
BE211,rur,313,rural_cluster,2010,7334
BE212,urb,130,urban_centre,2010,64754
BE212,sub,221,suburban,2010,151458
BE212,sub,222,urban_cluster_semidense,2010,18159
BE212,sub,223,urban_cluster_dense,2010,71767
BE212,rur,311,rural_verylowdensity,2010,7696
BE212,rur,312,rural_lowdensity,2010,51284
BE212,rur,313,rural_cluster,2010,2363
BE213,sub,221,suburban,2010,144711
BE213,sub,222,urban_cluster_semidense,2010,74622
BE213,sub,223,urban_cluster_dense,2010,74177
BE213,rur,310,water,2010,114
BE213,rur,311,rural_verylowdensity,2010,44371
BE213,rur,312,rural_lowdensity,2010,92306
BE213,rur,313,rural_cluster,2010,28148
BE223,urb,130,urban_centre,2010,33426
BE223,sub,221,suburban,2010,94332
BE223,sub,222,urban_cluster_semidense,2010,1643
BE223,sub,223,urban_cluster_dense,2010,37229
BE223,rur,311,rural_verylowdensity,2010,17479
BE223,rur,312,rural_lowdensity,2010,49371
BE223,rur,313,rural_cluster,2010,13363
BE224,sub,221,suburban,2010,175524
BE224,sub,222,urban_cluster_semidense,2010,65978
