,year,region_bld,clim,arch,urt,value
0,2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,0.325
1,2015,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,0.329
2,2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,0.479
3,2015,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,0.467
4,2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,0.407
5,2015,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,0.29
6,2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,0.559
7,2015,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,0.557
8,2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,0.165
9,2015,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,0.135
10,2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,0.262
11,2015,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,0.187
12,2015,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,0.292
13,2015,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,0.223
14,2015,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,0.282
15,2015,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,0.236
16,2015,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,0.547
17,2015,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,0.585
18,2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,0.337
19,2015,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,0.333
20,2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,0.397
21,2015,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,0.384
22,2015,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,0.635
23,2015,C-EEU-HRV,Zone_4C Mixed Marine,sfh,rur,0.59
24,2015,C-EEU-HRV,Zone_5A Cool Humid,mfh,rur,0.701
25,2015,C-EEU-HRV,Zone_5A Cool Humid,sfh,rur,0.632
26,2015,C-EEU-HUN,Zone_4A Mixed Humid,mfh,rur,0.23
27,2015,C-EEU-HUN,Zone_4A Mixed Humid,mfh,urb,0.17
28,2015,C-EEU-HUN,Zone_4A Mixed Humid,sfh,rur,0.131
29,2015,C-EEU-HUN,Zone_4A Mixed Humid,sfh,urb,0.082
30,2015,C-EEU-HUN,Zone_5A Cool Humid,mfh,rur,0.15
31,2015,C-EEU-HUN,Zone_5A Cool Humid,mfh,urb,0.122
32,2015,C-EEU-HUN,Zone_5A Cool Humid,sfh,rur,0.097
33,2015,C-EEU-HUN,Zone_5A Cool Humid,sfh,urb,0.101
34,2015,C-EEU-LTU,Zone_5A Cool Humid,mfh,rur,0.187
35,2015,C-EEU-LTU,Zone_5A Cool Humid,mfh,urb,0.166
36,2015,C-EEU-LTU,Zone_5A Cool Humid,sfh,rur,0.131
37,2015,C-EEU-LTU,Zone_5A Cool Humid,sfh,urb,0.098
38,2015,C-EEU-LTU,Zone_6A Cold Humid,mfh,rur,0.143
39,2015,C-EEU-LTU,Zone_6A Cold Humid,mfh,urb,0.143
40,2015,C-EEU-LTU,Zone_6A Cold Humid,sfh,rur,0.12
41,2015,C-EEU-LTU,Zone_6A Cold Humid,sfh,urb,0.186
